IP Address, Latitude, Longitude, City, Region, Country, Timezone, ISP, Blocked
142.250.180.174,37.751,-97.822,,,United States,America/Chicago,,
142.251.209.36,40.7306,-73.4313,Farmingdale,New York,United States,America/New_York,,
74.125.206.84,37.751,-97.822,,,United States,America/Chicago,,
142.251.209.42,40.7306,-73.4313,Farmingdale,New York,United States,America/New_York,,
216.58.204.238,37.751,-97.822,,,United States,America/Chicago,,
44.228.249.3,45.8234,-119.7257,Boardman,Oregon,United States,America/Los_Angeles,,
142.250.180.142,37.751,-97.822,,,United States,America/Chicago,,
104.18.16.171,None,None,None,None,None,None,,
142.251.209.35,40.7306,-73.4313,Farmingdale,New York,United States,America/New_York,,
142.250.180.177,37.751,-97.822,,,United States,America/Chicago,,
10.0.2.5,None,None,None,None,None,None,,
142.251.209.46,40.7306,-73.4313,Farmingdale,New York,United States,America/New_York,,
216.58.204.142,37.751,-97.822,,,United States,America/Chicago,,
142.250.180.163,37.751,-97.822,,,United States,America/Chicago,,
216.58.204.227,37.751,-97.822,,,United States,America/Chicago,,
216.58.204.234,37.751,-97.822,,,United States,America/Chicago,,
152.199.19.160,37.751,-97.822,,,United States,America/Chicago,,
192.168.1.1,None,None,None,None,None,None,,
142.250.180.161,37.751,-97.822,,,United States,America/Chicago,,
52.168.112.66,38.7095,-78.1539,Washington,Virginia,United States,America/New_York,,
